"Tabela","Variavel","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Tabela_Valores"
"P_DR2TOT","DR2_300","DR2_300","Compare food consumed yesterday to usual","Was the amount of food that {you/NAME} ate yesterday much more than usual usual or much less than usual?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", ""3"", ""7"", ""9"", "".""]; Value.Description=[""Much more than usual"", ""Usual"", ""Much less than usual"", ""Refused"", ""Don't know"", ""Missing""]; Count=[""679"", ""8581"", ""1622"", ""0"", ""54"", ""3364""]; Cumulative=[""679"", ""9260"", ""10882"", ""10882"", ""10936"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DR2TSELE","DR2TSELE","Selenium (mcg)","Selenium (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 602.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TSFAT","DR2TSFAT","Total saturated fatty acids (gm)","Total saturated fatty acids (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 331.047"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TSODI","DR2TSODI","Sodium (mg)","Sodium (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""7 to 24854"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TSUGR","DR2TSUGR","Total sugars (gm)","Total sugars (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 903.2"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TTFAT","DR2TTFAT","Total fat (gm)","Total fat (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 890.51"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TTHEO","DR2TTHEO","Theobromine (mg)","Theobromine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 990"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TVARA","DR2TVARA","Vitamin A RAE (mcg)","Vitamin A as retinol activity equivalents (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 34848"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TVB1","DR2TVB1","Thiamin (Vitamin B1) (mg)","Thiamin (Vitamin B1) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 13.241"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TVB12","DR2TVB12","Vitamin B12 (mcg)","Vitamin B12 (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 374.08"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TVB2","DR2TVB2","Riboflavin (Vitamin B2) (mg)","Riboflavin (Vitamin B2) (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 17.475"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TVB6","DR2TVB6","Vitamin B6 (mg)","Vitamin B6 (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 24.988"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TVC","DR2TVC","Vitamin C (mg)","Vitamin C (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1318.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TVD","DR2TVD","Vitamin D (D2 + D3) (mcg)","Vitamin D (D2 + D3) (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 92.1"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TVK","DR2TVK","Vitamin K (mcg)","Vitamin K (mcg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2930.5"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DR2TWSZ","DR2TWSZ","Tap water source","When you drink tap water what is the main source of the tap water?","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""4"", ""91"", ""99"", "".""]; Value.Description=[""Community supply"", ""Don't drink tap water"", ""Other"", ""Don't know"", ""Missing""]; Count=[""6756"", ""2838"", ""896"", ""446"", ""3364""]; Cumulative=[""6756"", ""9594"", ""10490"", ""10936"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DR2TZINC","DR2TZINC","Zinc (mg)","Zinc (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 149.08"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""10627"", ""3673""]; Cumulative=[""10627"", ""14300""]; Skip.to.Item=[""NA"", ""NA""]"
"P_DR2TOT","DRABF","DRABF","Breast-fed infant (either day)","Indicates whether the sample person was an infant who was breast-fed on either of the two recall   days. ","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Yes"", ""No"", ""Missing""]; Count=[""244"", ""12390"", ""1666""]; Cumulative=[""244"", ""12634"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_DR2TOT","DRDINT","DRDINT","Number of days of intake","Indicates whether the sample person has intake data for one or two days.","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1"", ""2"", "".""]; Value.Description=[""Day 1 only"", ""Day 1 and day 2"", ""Missing""]; Count=[""1804"", ""10830"", ""1666""]; Cumulative=[""1804"", ""12634"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_DR2TOT","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"P_DR2TOT","WTDR2DPP","WTDR2DPP","Dietary two-day sample weight","Dietary two-day sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""668.688687 to 702943.59773"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 2 dietary recall not done/incomplete"", ""Missing""]; Count=[""10830"", ""1804"", ""1666""]; Cumulative=[""10830"", ""12634"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"P_DR2TOT","WTDRD1PP","WTDRD1PP","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""805.552485 to 538404.42971"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 1 dietary recall not done/incomplete"", ""Missing""]; Count=[""12634"", ""1666"", ""0""]; Cumulative=[""12634"", ""14300"", ""14300""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
