"Table_name","Variable","Variable_Name","SAS_Label","English_Text","Target","English_Instructions","Codebook_table"
"DR1IFF_J","SEQN","SEQN","Respondent sequence number","Respondent sequence number.","Both males and females 0 YEARS - 150 YEARS",NA,NA
"DR1IFF_J","WTDRD1","WTDRD1","Dietary day one sample weight","Dietary day one sample weight","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""1478.156428 to 691139.54688"", ""0"", "".""]; Value.Description=[""Range of Values"", ""Day 1 dietary recall not done/incomplete"", ""Missing""]; Count=[""112683"", ""0"", ""0""]; Cumulative=[""112683"", ""112683"", ""112683""]; Skip.to.Item=[""NA"", ""NA"", ""NA""]"
"DR1IFF_J","DR1ICAFF","DR1ICAFF","Caffeine (mg)","Caffeine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3600"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1ITHEO","DR1ITHEO","Theobromine (mg)","Theobromine (mg)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1170"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IALCO","DR1IALCO","Alcohol (gm)","Alcohol (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 332.6"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IMOIS","DR1IMOIS","Moisture (gm)","Moisture (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 15344.64"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IS040","DR1IS040","SFA 4:0 (Butanoic) (gm)","SFA 4:0 (Butanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 7.226"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IS060","DR1IS060","SFA 6:0 (Hexanoic) (gm)","SFA 6:0 (Hexanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.496"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IS080","DR1IS080","SFA 8:0 (Octanoic) (gm)","SFA 8:0 (Octanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 6.658"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IS100","DR1IS100","SFA 10:0 (Decanoic) (gm)","SFA 10:0 (Decanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 5.665"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IS120","DR1IS120","SFA 12:0 (Dodecanoic) (gm)","SFA 12:0 (Dodecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 42.177"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IS140","DR1IS140","SFA 14:0 (Tetradecanoic) (gm)","SFA 14:0 (Tetradecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 16.657"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IS160","DR1IS160","SFA 16:0 (Hexadecanoic) (gm)","SFA 16:0 (Hexadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 50.573"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IS180","DR1IS180","SFA 18:0 (Octadecanoic) (gm)","SFA 18:0 (Octadecanoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 28.41"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IM161","DR1IM161","MFA 16:1 (Hexadecenoic) (gm)","MFA 16:1 (Hexadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 16.797"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IM181","DR1IM181","MFA 18:1 (Octadecenoic) (gm)","MFA 18:1 (Octadecenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 93.12"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IM201","DR1IM201","MFA 20:1 (Eicosenoic) (gm)","MFA 20:1 (Eicosenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.55"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IM221","DR1IM221","MFA 22:1 (Docosenoic) (gm)","MFA 22:1 (Docosenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 3.024"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IP182","DR1IP182","PFA 18:2 (Octadecadienoic) (gm)","PFA 18:2 (Octadecadienoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 154.515"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IP183","DR1IP183","PFA 18:3 (Octadecatrienoic) (gm)","PFA 18:3 (Octadecatrienoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 12.648"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IP184","DR1IP184","PFA 18:4 (Octadecatetraenoic) (gm)","PFA 18:4 (Octadecatetraenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 0.542"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IP204","DR1IP204","PFA 20:4 (Eicosatetraenoic) (gm)","PFA 20:4 (Eicosatetraenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1.433"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IP205","DR1IP205","PFA 20:5 (Eicosapentaenoic) (gm)","PFA 20:5 (Eicosapentaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 2.005"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IP225","DR1IP225","PFA 22:5 (Docosapentaenoic) (gm)","PFA 22:5 (Docosapentaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 1.176"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
"DR1IFF_J","DR1IP226","DR1IP226","PFA 22:6 (Docosahexaenoic) (gm)","PFA 22:6 (Docosahexaenoic) (gm)","Both males and females 0 YEARS - 150 YEARS",NA,"Code.or.Value=[""0 to 4.356"", "".""]; Value.Description=[""Range of Values"", ""Missing""]; Count=[""111710"", ""973""]; Cumulative=[""111710"", ""112683""]; Skip.to.Item=[""NA"", ""NA""]"
