RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
d00700,EPHEDRINE,1,40,54,,122,127,,,,,,,,40,54,,122,127,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,,,
d00703,METHOXAMINE,1,40,54,,,,,,,,,,,40,54,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,,,,,,,,,,,,,,,
d00704,PHENYLEPHRINE,1,40,54,,122,127,,,,,,,,40,54,,122,127,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,CARDIOVASCULAR AGENTS,VASOPRESSORS,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,,,
d00709,BISOPROLOL,1,40,47,274,,,,,,,,,,40,47,274,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,"BETA BLOCKERS, CARDIOSELECTIVE",,,,,,,,,,CARDIOVASCULAR AGENTS,BETA-ADRENERGIC BLOCKING AGENTS,"BETA BLOCKERS, CARDIOSELECTIVE",,,,,,,,,,,,,,,
d00717,GUANFACINE,1,40,44,,,,,,,,,,,40,44,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",,,,,,,,,,,CARDIOVASCULAR AGENTS,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",,,,,,,,,,,,,,,,
d00725,GUANADREL,1,40,43,,,,,,,,,,,40,43,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",,,,,,,,,,,CARDIOVASCULAR AGENTS,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",,,,,,,,,,,,,,,,
d00726,DOXAZOSIN,1,40,43,,,,,,,,,,,40,43,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",,,,,,,,,,,CARDIOVASCULAR AGENTS,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",,,,,,,,,,,,,,,,
d00728,RAMIPRIL,1,40,42,,,,,,,,,,,40,42,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,,,,,,,,,,,,,,,,
d00730,BENAZEPRIL,1,40,42,,,,,,,,,,,40,42,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,,,,,,,,,,,,,,,,
d00732,LISINOPRIL,1,40,42,,,,,,,,,,,40,42,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,,,,,,,,,,,CARDIOVASCULAR AGENTS,ANGIOTENSIN CONVERTING ENZYME (ACE) INHIBITORS,,,,,,,,,,,,,,,,
d00734,PHENOXYBENZAMINE,1,40,51,,,,,,,,,,,40,51,,,,,,,,,,,,,,,,,CARDIOVASCULAR AGENTS,MISCELLANEOUS CARDIOVASCULAR AGENTS,,,,,,,,,,,CARDIOVASCULAR AGENTS,MISCELLANEOUS CARDIOVASCULAR AGENTS,,,,,,,,,,,,,,,,
d00743,SODIUM POLYSTYRENE SULFONATE,1,105,497,,,,,,,,,,,105,497,,,,,,,,,,,,,,,,,MISCELLANEOUS AGENTS,CATION EXCHANGE RESINS,,,,,,,,,,,MISCELLANEOUS AGENTS,CATION EXCHANGE RESINS,,,,,,,,,,,,,,,,
d00744,COLESTIPOL,1,358,19,252,,,,,,,,,,358,19,252,,,,,,,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,BILE ACID SEQUESTRANTS,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,BILE ACID SEQUESTRANTS,,,,,,,,,,,,,,,
d00746,SIMVASTATIN,1,358,19,173,,,,,,,,,,358,19,173,,,,,,,,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,HMG-COA REDUCTASE INHIBITORS (STATINS),,,,,,,,,,METABOLIC AGENTS,ANTIHYPERLIPIDEMIC AGENTS,HMG-COA REDUCTASE INHIBITORS (STATINS),,,,,,,,,,,,,,,
d00749,ALBUTEROL,1,122,125,180,,,,,,,,,,122,125,180,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00750,METAPROTERENOL,1,122,125,180,,,,,,,,,,122,125,180,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00751,ISOETHARINE,1,122,125,180,,,,,,,,,,122,125,180,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00752,TERBUTALINE,1,113,427,,122,125,180,,,,,,,113,427,,122,125,180,,,,,,,,,,,,,GENITOURINARY TRACT AGENTS,TOCOLYTIC AGENTS,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,GENITOURINARY TRACT AGENTS,TOCOLYTIC AGENTS,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,
d00754,BITOLTEROL,1,122,125,180,,,,,,,,,,122,125,180,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00755,PIRBUTEROL,1,122,125,180,,,,,,,,,,122,125,180,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,ADRENERGIC BRONCHODILATORS,,,,,,,,,,,,,,,
d00756,OXTRIPHYLLINE,1,122,125,126,,,,,,,,,,122,125,126,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,,,,,,
d00758,AMINOPHYLLINE,1,122,125,126,,,,,,,,,,122,125,126,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,,,,,,
d00759,DYPHYLLINE,1,122,125,126,,,,,,,,,,122,125,126,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,RESPIRATORY AGENTS,BRONCHODILATORS,METHYLXANTHINES,,,,,,,,,,,,,,,
d00760,BECLOMETHASONE,1,122,130,296,,,,,,,,,,122,130,296,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,INHALED CORTICOSTEROIDS,,,,,,,,,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,INHALED CORTICOSTEROIDS,,,,,,,,,,,,,,,
d00761,FLUNISOLIDE,1,122,130,296,,,,,,,,,,122,130,296,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,INHALED CORTICOSTEROIDS,,,,,,,,,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,INHALED CORTICOSTEROIDS,,,,,,,,,,,,,,,
d00762,ACETYLCYSTEINE,1,105,106,,122,130,297,,,,,,,105,106,,122,130,297,,,,,,,,,,,,,MISCELLANEOUS AGENTS,ANTIDOTES,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,MUCOLYTICS,,,,,,,MISCELLANEOUS AGENTS,ANTIDOTES,,RESPIRATORY AGENTS,RESPIRATORY INHALANT PRODUCTS,MUCOLYTICS,,,,,,,,,,,,
d00765,CROMOLYN OPHTHALMIC,1,133,147,267,,,,,,,,,,133,147,267,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d00767,PHENYLPROPANOLAMINE,1,122,127,,,,,,,,,,,122,127,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,,,,,,
d00769,PSEUDOEPHEDRINE,1,122,127,,,,,,,,,,,122,127,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,RESPIRATORY AGENTS,DECONGESTANTS,,,,,,,,,,,,,,,,
d00771,NAPHAZOLINE OPHTHALMIC,1,133,147,267,,,,,,,,,,133,147,267,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d00773,TETRAHYDROZOLINE OPHTHALMIC,1,133,147,267,,,,,,,,,,133,147,267,,,,,,,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,TOPICAL AGENTS,OPHTHALMIC PREPARATIONS,OPHTHALMIC ANTIHISTAMINES AND DECONGESTANTS,,,,,,,,,,,,,,,
d00780,CLEMASTINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00781,TRIPELENNAMINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00784,DEXCHLORPHENIRAMINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00785,BROMPHENIRAMINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00786,TRIPROLIDINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00787,PROMETHAZINE,1,57,65,196,122,123,,,,,,,,57,65,196,122,123,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,PHENOTHIAZINE ANTIEMETICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,PHENOTHIAZINE ANTIEMETICS,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,
d00790,CYPROHEPTADINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00791,AZATADINE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00794,ASTEMIZOLE,1,122,123,,,,,,,,,,,122,123,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,RESPIRATORY AGENTS,ANTIHISTAMINES,,,,,,,,,,,,,,,,
d00796,BENZONATATE,1,122,124,,,,,,,,,,,122,124,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,,RESPIRATORY AGENTS,ANTITUSSIVES,,,,,,,,,,,,,,,,
d00797,GUAIFENESIN,1,122,128,,,,,,,,,,,122,128,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,,,,
d00799,IODINATED GLYCEROL,1,122,128,,,,,,,,,,,122,128,,,,,,,,,,,,,,,,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,,,,
d00800,POTASSIUM IODIDE,1,97,422,,122,128,,,,,,,,97,422,,122,128,,,,,,,,,,,,,,HORMONES/HORMONE MODIFIERS,ANTITHYROID AGENTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,HORMONES/HORMONE MODIFIERS,ANTITHYROID AGENTS,,RESPIRATORY AGENTS,EXPECTORANTS,,,,,,,,,,,,,
d00801,CAFFEINE,1,57,71,,,,,,,,,,,57,71,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
d00803,AMPHETAMINE,1,57,71,,,,,,,,,,,57,71,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
d00804,DEXTROAMPHETAMINE,1,57,71,,,,,,,,,,,57,71,,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,,,,,,,,,,,,,,,
d00805,METHAMPHETAMINE,1,57,71,,57,253,,,,,,,,57,71,,57,253,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00806,PHENTERMINE,1,57,71,,57,253,,,,,,,,57,71,,57,253,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00807,BENZPHETAMINE,1,57,71,,57,253,,,,,,,,57,71,,57,253,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00809,PHENDIMETRAZINE,1,57,71,,57,253,,,,,,,,57,71,,57,253,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00810,DIETHYLPROPION,1,57,71,,57,253,,,,,,,,57,71,,57,253,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00811,MAZINDOL,1,57,71,,57,253,,,,,,,,57,71,,57,253,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00812,FENFLURAMINE,1,57,71,,57,253,,,,,,,,57,71,,57,253,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,CNS STIMULANTS,,CENTRAL NERVOUS SYSTEM AGENTS,ANOREXIANTS,,,,,,,,,,,,,
d00813,BENZOCAINE TOPICAL,1,133,136,139,,,,,,,,,,133,136,139,,,,,,,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANESTHETICS,,,,,,,,,,TOPICAL AGENTS,DERMATOLOGICAL AGENTS,TOPICAL ANESTHETICS,,,,,,,,,,,,,,,
d00817,HYDROXYCHLOROQUINE,1,1,5,238,105,192,,,,,,,,1,5,238,105,192,,,,,,,,,,,,,,ANTI-INFECTIVES,ANTIMALARIAL AGENTS,ANTIMALARIAL QUINOLINES,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,,,,,,,ANTI-INFECTIVES,ANTIMALARIAL AGENTS,ANTIMALARIAL QUINOLINES,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,,,,,,,,,,,,
d00818,AURANOFIN,1,105,192,,,,,,,,,,,105,192,,,,,,,,,,,,,,,,,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,,,,,,,,,,MISCELLANEOUS AGENTS,ANTIRHEUMATICS,,,,,,,,,,,,,,,,
d00824,OPIUM,1,57,58,60,,,,,,,,,,57,58,60,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,,,,,,,,,,,,,,,
d00833,OXYMORPHONE,1,57,58,60,,,,,,,,,,57,58,60,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,,,,,,,,,,,,,,,
d00840,BUPRENORPHINE,1,57,58,60,,,,,,,,,,57,58,60,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NARCOTIC ANALGESICS,,,,,,,,,,,,,,,
d00842,SALSALATE,1,57,58,62,,,,,,,,,,57,58,62,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,SALICYLATES,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,SALICYLATES,,,,,,,,,,,,,,,
d00848,DICLOFENAC,1,57,58,61,,,,,,,,,,57,58,61,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
d00851,ETODOLAC,1,57,58,61,,,,,,,,,,57,58,61,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
d00853,OXAPROZIN,1,57,58,61,,,,,,,,,,57,58,61,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANALGESICS,NONSTEROIDAL ANTI-INFLAMMATORY AGENTS,,,,,,,,,,,,,,,
d00855,PERPHENAZINE,1,57,65,196,242,251,210,,,,,,,57,65,196,242,251,210,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,PHENOTHIAZINE ANTIEMETICS,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,PHENOTHIAZINE ANTIPSYCHOTICS,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,PHENOTHIAZINE ANTIEMETICS,PSYCHOTHERAPEUTIC AGENTS,ANTIPSYCHOTICS,PHENOTHIAZINE ANTIPSYCHOTICS,,,,,,,,,,,,
d00859,MECLIZINE,1,57,65,197,,,,,,,,,,57,65,197,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,ANTICHOLINERGIC ANTIEMETICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,ANTICHOLINERGIC ANTIEMETICS,,,,,,,,,,,,,,,
d00861,DIMENHYDRINATE,1,57,65,197,,,,,,,,,,57,65,197,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,ANTICHOLINERGIC ANTIEMETICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,ANTICHOLINERGIC ANTIEMETICS,,,,,,,,,,,,,,,
d00862,TRIMETHOBENZAMIDE,1,57,65,197,,,,,,,,,,57,65,197,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,ANTICHOLINERGIC ANTIEMETICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,ANTICHOLINERGIC ANTIEMETICS,,,,,,,,,,,,,,,
d00866,DRONABINOL,1,57,65,198,,,,,,,,,,57,65,198,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,MISCELLANEOUS ANTIEMETICS,,,,,,,,,,,,,,,
d00867,ONDANSETRON,1,57,65,195,,,,,,,,,,57,65,195,,,,,,,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,5HT3 RECEPTOR ANTAGONISTS,,,,,,,,,,CENTRAL NERVOUS SYSTEM AGENTS,ANTIEMETIC/ANTIVERTIGO AGENTS,5HT3 RECEPTOR ANTAGONISTS,,,,,,,,,,,,,,,
d00873,TRIMIPRAMINE,1,242,249,209,,,,,,,,,,242,249,209,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,,,,,,
d00874,AMOXAPINE,1,242,249,209,,,,,,,,,,242,249,209,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,,,,,,
d00875,PROTRIPTYLINE,1,242,249,209,,,,,,,,,,242,249,209,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,,,,,,
d00876,CLOMIPRAMINE,1,242,249,209,,,,,,,,,,242,249,209,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TRICYCLIC ANTIDEPRESSANTS,,,,,,,,,,,,,,,
d00877,MAPROTILINE,1,242,249,307,,,,,,,,,,242,249,307,,,,,,,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TETRACYCLIC ANTIDEPRESSANTS,,,,,,,,,,PSYCHOTHERAPEUTIC AGENTS,ANTIDEPRESSANTS,TETRACYCLIC ANTIDEPRESSANTS,,,,,,,,,,,,,,,
